graph_id,node_id,label,feat_zoning_type_0,feat_zoning_type_1,feat_zoning_type_2,feat_zoning_type_3,feat_connectivity_0,feat_connectivity_1,feat_connectivity_2,train_mask,val_mask,test_mask
3,0,0,1,0,0,0,0.0,1.0,0.0,True,False,False
3,1,0,1,0,0,0,0.0,1.0,0.0,True,False,False
3,2,7,0,0,1,0,0.0,1.0,0.0,True,False,False
3,3,1,0,1,0,0,0.0,1.0,0.0,True,False,False
3,4,7,0,0,1,0,0.0,1.0,0.0,True,False,False
3,5,4,0,1,0,0,0.0,1.0,0.0,True,False,False
3,6,4,0,1,0,0,0.0,1.0,0.0,True,False,False
3,7,2,0,1,0,0,0.0,1.0,0.0,True,False,False
3,8,0,1,0,0,0,0.0,1.0,0.0,True,False,False
3,9,0,1,0,0,0,0.0,1.0,0.0,False,False,True
3,10,0,1,0,0,0,0.0,1.0,0.0,True,False,False
3,11,2,0,1,0,0,0.0,1.0,0.0,True,False,False
3,12,7,0,0,1,0,0.0,1.0,0.0,False,False,True
3,13,1,0,1,0,0,0.0,1.0,0.0,True,False,False
3,14,4,0,1,0,0,0.0,1.0,0.0,False,True,False
3,15,2,0,1,0,0,0.0,1.0,0.0,True,False,False
3,16,0,1,0,0,0,0.0,1.0,0.0,True,False,False
3,17,7,0,0,1,0,0.0,1.0,0.0,False,False,True
3,18,4,0,1,0,0,0.0,1.0,0.0,True,False,False
4,0,0,1,0,0,0,0.0,1.0,0.0,False,False,True
4,1,8,0,0,0,1,0.0,1.0,0.0,True,False,False
4,2,7,0,0,1,0,0.0,1.0,0.0,True,False,False
4,3,4,0,1,0,0,0.0,0.8333333333333334,0.1666666666666666,True,False,False
4,4,0,1,0,0,0,0.0,1.0,0.0,False,False,True
4,5,2,0,1,0,0,0.0,1.0,0.0,False,False,True
4,6,0,1,0,0,0,0.0,1.0,0.0,True,False,False
4,7,4,0,1,0,0,0.0,0.8333333333333334,0.1666666666666666,True,False,False
4,8,0,1,0,0,0,0.0,1.0,0.0,False,True,False
4,9,0,1,0,0,0,0.0,1.0,0.0,True,False,False
4,10,7,0,0,1,0,0.0,1.0,0.0,True,False,False
4,11,8,0,0,0,1,0.0,1.0,0.0,True,False,False
4,12,0,1,0,0,0,0.0,1.0,0.0,True,False,False
4,13,2,0,1,0,0,0.0,1.0,0.0,True,False,False
4,14,4,0,1,0,0,1.0,0.0,0.0,True,False,False
4,15,5,0,0,1,0,0.3333333333333333,0.0,0.6666666666666666,True,False,False
13,0,8,0,0,0,1,0.0,1.0,0.0,True,False,False
13,1,4,0,1,0,0,0.0,0.8333333333333334,0.1666666666666666,True,False,False
13,2,0,1,0,0,0,0.0,1.0,0.0,True,False,False
13,3,0,1,0,0,0,0.0,1.0,0.0,False,False,True
13,4,7,0,0,1,0,0.0,1.0,0.0,True,False,False
13,5,2,0,1,0,0,0.0,1.0,0.0,True,False,False
13,6,0,1,0,0,0,0.0,1.0,0.0,True,False,False
13,7,8,0,0,0,1,0.0,1.0,0.0,True,False,False
13,8,0,1,0,0,0,0.0,1.0,0.0,False,False,True
13,9,2,0,1,0,0,0.0,1.0,0.0,True,False,False
13,10,0,1,0,0,0,0.0,1.0,0.0,True,False,False
13,11,4,0,1,0,0,0.0,0.8571428571428571,0.1428571428571428,False,False,True
13,12,0,1,0,0,0,0.0,1.0,0.0,False,True,False
13,13,7,0,0,1,0,0.0,1.0,0.0,True,False,False
13,14,0,1,0,0,0,0.0,1.0,0.0,True,False,False
13,15,5,0,0,1,0,0.0,0.0,1.0,True,False,False
17,0,1,0,1,0,0,1.0,0.0,0.0,True,False,False
17,1,7,0,0,1,0,0.0,1.0,0.0,True,False,False
17,2,0,1,0,0,0,0.0,1.0,0.0,True,False,False
17,3,4,0,1,0,0,0.2,0.6,0.2,False,True,False
17,4,0,1,0,0,0,0.0,1.0,0.0,True,False,False
17,5,8,0,0,0,1,0.0,1.0,0.0,True,False,False
17,6,2,0,1,0,0,0.5,0.5,0.0,False,True,False
17,7,0,1,0,0,0,0.0,1.0,0.0,False,False,True
17,8,7,0,0,1,0,0.0,1.0,0.0,True,False,False
17,9,0,1,0,0,0,0.0,1.0,0.0,True,False,False
17,10,8,0,0,0,1,0.0,1.0,0.0,False,False,True
17,11,4,0,1,0,0,0.2,0.6,0.2,True,False,False
17,12,2,0,1,0,0,0.5,0.5,0.0,True,False,False
17,13,1,0,1,0,0,0.6666666666666666,0.3333333333333333,0.0,True,False,False
17,14,7,0,0,1,0,0.0,1.0,0.0,True,False,False
17,15,0,1,0,0,0,0.5,0.5,0.0,True,False,False
17,16,1,0,1,0,0,0.5,0.5,0.0,True,False,False
17,17,0,1,0,0,0,0.0,1.0,0.0,True,False,False
17,18,4,0,1,0,0,0.1666666666666666,0.6666666666666666,0.1666666666666666,True,False,False
17,19,0,1,0,0,0,0.5,0.5,0.0,True,False,False
17,20,2,0,1,0,0,0.5,0.5,0.0,True,False,False
17,21,8,0,0,0,1,0.0,1.0,0.0,True,False,False
17,22,7,0,0,1,0,0.0,1.0,0.0,True,False,False
17,23,2,0,1,0,0,0.5,0.5,0.0,True,False,False
17,24,1,0,1,0,0,0.6666666666666666,0.3333333333333333,0.0,True,False,False
17,25,0,1,0,0,0,0.0,1.0,0.0,True,False,False
17,26,4,0,1,0,0,0.1666666666666666,0.6666666666666666,0.1666666666666666,True,False,False
17,27,0,1,0,0,0,0.0,1.0,0.0,True,False,False
17,28,8,0,0,0,1,0.0,1.0,0.0,False,False,True
17,29,0,1,0,0,0,0.0,1.0,0.0,False,False,True
17,30,7,0,0,1,0,0.0,1.0,0.0,True,False,False
17,31,0,1,0,0,0,0.0,1.0,0.0,True,False,False
17,32,2,0,1,0,0,1.0,0.0,0.0,True,False,False
17,33,1,0,1,0,0,0.5,0.5,0.0,True,False,False
17,34,0,1,0,0,0,0.5,0.5,0.0,True,False,False
17,35,8,0,0,0,1,0.0,1.0,0.0,True,False,False
17,36,7,0,0,1,0,0.0,1.0,0.0,True,False,False
17,37,7,0,0,1,0,0.0,1.0,0.0,True,False,False
17,38,0,1,0,0,0,0.5,0.5,0.0,True,False,False
17,39,4,0,1,0,0,0.1666666666666666,0.6666666666666666,0.1666666666666666,True,False,False
17,40,0,1,0,0,0,0.0,1.0,0.0,False,True,False
17,41,0,1,0,0,0,0.0,1.0,0.0,False,False,True
17,42,1,0,1,0,0,0.5,0.5,0.0,True,False,False
17,43,4,0,1,0,0,0.1666666666666666,0.6666666666666666,0.1666666666666666,False,True,False
17,44,8,0,0,0,1,0.0,1.0,0.0,True,False,False
17,45,7,0,0,1,0,0.0,1.0,0.0,True,False,False
17,46,0,1,0,0,0,0.0,1.0,0.0,False,False,True
17,47,2,0,1,0,0,1.0,0.0,0.0,True,False,False
17,48,7,0,0,1,0,0.0,1.0,0.0,True,False,False
17,49,5,0,0,1,0,0.0,0.0,1.0,True,False,False
17,50,5,0,0,1,0,0.0,0.0,1.0,True,False,False
17,51,5,0,0,1,0,0.0,0.0,1.0,False,True,False
26,0,2,0,1,0,0,0.0,1.0,0.0,False,False,True
26,1,7,0,0,1,0,0.0,1.0,0.0,False,True,False
26,2,0,1,0,0,0,0.0,1.0,0.0,True,False,False
26,3,1,0,1,0,0,0.3333333333333333,0.6666666666666666,0.0,True,False,False
26,4,8,0,0,0,1,0.0,1.0,0.0,True,False,False
26,5,4,0,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,False,False
26,6,7,0,0,1,0,0.0,1.0,0.0,True,False,False
26,7,6,0,0,1,0,0.0,1.0,0.0,True,False,False
