graph_id,src_id,dst_id,feat_connectivity_0,feat_connectivity_1,feat_connectivity_2
3,0,3,0,1,0
3,1,6,0,1,0
3,2,6,0,1,0
3,3,0,0,1,0
3,3,5,0,1,0
3,3,6,0,1,0
3,4,6,0,1,0
3,5,3,0,1,0
3,5,7,0,1,0
3,6,1,0,1,0
3,6,2,0,1,0
3,6,3,0,1,0
3,6,4,0,1,0
3,6,8,0,1,0
3,7,5,0,1,0
3,8,6,0,1,0
3,9,13,0,1,0
3,10,13,0,1,0
3,11,14,0,1,0
3,12,13,0,1,0
3,13,9,0,1,0
3,13,10,0,1,0
3,13,12,0,1,0
3,13,14,0,1,0
3,14,11,0,1,0
3,14,13,0,1,0
3,15,18,0,1,0
3,16,18,0,1,0
3,17,18,0,1,0
3,18,15,0,1,0
3,18,16,0,1,0
3,18,17,0,1,0
4,0,3,0,1,0
4,1,5,0,1,0
4,2,3,0,1,0
4,3,0,0,1,0
4,3,2,0,1,0
4,3,4,0,1,0
4,3,5,0,1,0
4,3,6,0,1,0
4,3,15,0,0,1
4,4,3,0,1,0
4,5,1,0,1,0
4,5,3,0,1,0
4,6,3,0,1,0
4,7,8,0,1,0
4,7,9,0,1,0
4,7,10,0,1,0
4,7,12,0,1,0
4,7,13,0,1,0
4,7,15,0,0,1
4,8,7,0,1,0
4,9,7,0,1,0
4,10,7,0,1,0
4,11,13,0,1,0
4,12,7,0,1,0
4,13,7,0,1,0
4,13,11,0,1,0
4,14,15,1,0,0
4,15,3,0,0,1
4,15,7,0,0,1
4,15,14,1,0,0
13,0,6,0,1,0
13,1,2,0,1,0
13,1,3,0,1,0
13,1,4,0,1,0
13,1,5,0,1,0
13,1,6,0,1,0
13,1,15,0,0,1
13,2,1,0,1,0
13,3,1,0,1,0
13,4,1,0,1,0
13,5,1,0,1,0
13,6,0,0,1,0
13,6,1,0,1,0
13,7,14,0,1,0
13,8,11,0,1,0
13,9,11,0,1,0
13,10,11,0,1,0
13,11,8,0,1,0
13,11,9,0,1,0
13,11,10,0,1,0
13,11,12,0,1,0
13,11,13,0,1,0
13,11,14,0,1,0
13,11,15,0,0,1
13,12,11,0,1,0
13,13,11,0,1,0
13,14,7,0,1,0
13,14,11,0,1,0
13,15,1,0,0,1
13,15,11,0,0,1
17,0,3,1,0,0
17,0,6,1,0,0
17,1,3,0,1,0
17,2,3,0,1,0
17,3,0,1,0,0
17,3,1,0,1,0
17,3,2,0,1,0
17,3,4,0,1,0
17,3,49,0,0,1
17,4,3,0,1,0
17,5,6,0,1,0
17,6,0,1,0,0
17,6,5,0,1,0
17,7,11,0,1,0
17,8,11,0,1,0
17,9,11,0,1,0
17,10,12,0,1,0
17,10,13,0,1,0
17,11,7,0,1,0
17,11,8,0,1,0
17,11,9,0,1,0
17,11,13,1,0,0
17,11,50,0,0,1
17,12,10,0,1,0
17,12,13,1,0,0
17,13,10,0,1,0
17,13,11,1,0,0
17,13,12,1,0,0
17,14,18,0,1,0
17,15,18,0,1,0
17,15,19,1,0,0
17,16,18,1,0,0
17,16,20,1,0,0
17,16,21,0,1,0
17,16,22,0,1,0
17,17,18,0,1,0
17,18,14,0,1,0
17,18,15,0,1,0
17,18,16,1,0,0
17,18,17,0,1,0
17,18,19,0,1,0
17,18,50,0,0,1
17,19,15,1,0,0
17,19,18,0,1,0
17,20,16,1,0,0
17,20,21,0,1,0
17,21,16,0,1,0
17,21,20,0,1,0
17,22,16,0,1,0
17,23,24,1,0,0
17,23,28,0,1,0
17,24,23,1,0,0
17,24,26,1,0,0
17,24,28,0,1,0
17,25,26,0,1,0
17,26,24,1,0,0
17,26,25,0,1,0
17,26,27,0,1,0
17,26,29,0,1,0
17,26,30,0,1,0
17,26,51,0,0,1
17,27,26,0,1,0
17,28,23,0,1,0
17,28,24,0,1,0
17,29,26,0,1,0
17,30,26,0,1,0
17,31,39,0,1,0
17,32,33,1,0,0
17,33,32,1,0,0
17,33,35,0,1,0
17,33,36,0,1,0
17,33,39,1,0,0
17,34,38,1,0,0
17,34,39,0,1,0
17,35,33,0,1,0
17,36,33,0,1,0
17,37,39,0,1,0
17,38,34,1,0,0
17,38,39,0,1,0
17,39,31,0,1,0
17,39,33,1,0,0
17,39,34,0,1,0
17,39,37,0,1,0
17,39,38,0,1,0
17,39,51,0,0,1
17,40,43,0,1,0
17,41,43,0,1,0
17,42,43,1,0,0
17,42,44,0,1,0
17,42,47,1,0,0
17,42,48,0,1,0
17,43,40,0,1,0
17,43,41,0,1,0
17,43,42,1,0,0
17,43,45,0,1,0
17,43,46,0,1,0
17,43,49,0,0,1
17,44,42,0,1,0
17,45,43,0,1,0
17,46,43,0,1,0
17,47,42,1,0,0
17,48,42,0,1,0
17,49,3,0,0,1
17,49,43,0,0,1
17,50,11,0,0,1
17,50,18,0,0,1
17,51,26,0,0,1
17,51,39,0,0,1
26,0,2,0,1,0
26,0,3,0,1,0
26,1,2,0,1,0
26,2,0,0,1,0
26,2,1,0,1,0
26,2,5,0,1,0
26,3,0,0,1,0
26,3,4,0,1,0
26,3,5,1,0,0
26,4,3,0,1,0
26,5,2,0,1,0
26,5,3,1,0,0
26,5,27,0,0,1
26,6,8,0,1,0
26,7,10,0,1,0
26,8,6,0,1,0
26,8,9,0,1,0
26,8,10,0,1,0
26,8,12,1,0,0
26,8,13,0,1,0
26,8,14,0,1,0
26,9,8,0,1,0
26,9,13,0,1,0
26,9,14,0,1,0
26,10,7,0,1,0
26,10,8,0,1,0
26,12,8,1,0,0
26,13,8,0,1,0
26,13,9,0,1,0
26,14,8,0,1,0
26,14,9,0,1,0
26,15,17,0,1,0
26,16,17,0,1,0
26,16,18,0,1,0
26,17,15,0,1,0
26,17,16,0,1,0
26,17,19,1,0,0
26,17,27,0,0,1
26,18,16,0,1,0
26,19,17,1,0,0
26,20,21,0,1,0
26,20,23,0,1,0
26,21,20,0,1,0
26,21,24,1,0,0
26,21,25,0,1,0
26,22,23,0,1,0
26,23,20,0,1,0
26,23,22,0,1,0
26,23,24,0,1,0
26,24,21,1,0,0
26,24,23,0,1,0
26,24,27,0,0,1
26,25,21,0,1,0
26,26,27,0,1,0
26,27,5,0,0,1
26,27,17,0,0,1
26,27,24,0,0,1
26,27,26,0,1,0
29,0,5,0,1,0
29,1,5,0,1,0
29,1,8,0,1,0
29,2,5,0,1,0
29,3,5,1,0,0
29,3,7,1,0,0
29,4,7,0,1,0
29,5,0,0,1,0
29,5,1,0,1,0
29,5,2,0,1,0
29,5,3,1,0,0
29,5,6,0,1,0
29,5,7,1,0,0
29,5,26,0,0,1
29,6,5,0,1,0
29,7,3,1,0,0
29,7,4,0,1,0
29,7,5,1,0,0
29,8,1,0,1,0
29,9,11,1,0,0
29,9,14,1,0,0
29,10,14,0,1,0
29,11,9,1,0,0
29,11,12,0,1,0
29,11,14,1,0,0
29,12,11,0,1,0
29,13,14,0,1,0
29,14,9,1,0,0
29,14,10,0,1,0
29,14,11,1,0,0
29,14,13,0,1,0
29,14,15,0,1,0
29,14,16,0,1,0
29,14,26,0,0,1
29,15,14,0,1,0
29,16,14,0,1,0
29,17,18,0,1,0
29,18,17,0,1,0
29,18,19,0,1,0
29,18,20,0,1,0
29,18,21,0,1,0
29,18,23,1,0,0
29,18,24,1,0,0
29,18,26,0,0,1
29,19,18,0,1,0
29,20,18,0,1,0
29,21,18,0,1,0
29,21,22,0,1,0
29,22,21,0,1,0
29,23,18,1,0,0
29,23,24,1,0,0
29,23,25,0,1,0
29,24,18,1,0,0
29,24,23,1,0,0
29,25,23,0,1,0
29,26,5,0,0,1
29,26,14,0,0,1
29,26,18,0,0,1
29,26,27,0,1,0
29,27,26,0,1,0
45,0,1,0,1,0
45,0,2,0,1,0
45,0,3,1,0,0
45,1,0,0,1,0
45,1,3,0,1,0
45,1,4,0,1,0
45,1,5,0,1,0
45,2,0,0,1,0
45,3,0,1,0,0
45,3,1,0,1,0
