graph_id,src_id,dst_id,label,train_mask,val_mask,test_mask,feat
0,0,20,0,,,,
0,0,13,0,,,,
0,0,2,0,,,,
0,0,14,0,,,,
0,1,42,0,,,,
0,1,48,0,,,,
0,1,51,0,,,,
0,1,7,0,,,,
0,1,50,0,,,,
0,1,31,0,,,,
0,2,12,0,,,,
0,2,15,0,,,,
0,2,0,0,,,,
0,2,43,0,,,,
0,2,25,0,,,,
0,3,24,0,,,,
0,3,30,0,,,,
0,3,49,0,,,,
0,3,19,0,,,,
0,4,5,0,,,,
0,4,36,0,,,,
0,4,41,0,,,,
0,5,33,0,,,,
0,5,4,0,,,,
0,5,17,0,,,,
0,6,26,0,,,,
0,6,13,0,,,,
0,6,23,0,,,,
0,7,1,0,,,,
0,7,46,0,,,,
0,7,42,0,,,,
0,7,38,0,,,,
0,7,10,0,,,,
0,7,47,0,,,,
0,7,37,0,,,,
0,7,34,0,,,,
0,7,45,0,,,,
0,7,50,0,,,,
0,7,9,0,,,,
0,7,31,0,,,,
0,8,18,0,,,,
0,8,12,0,,,,
0,8,27,0,,,,
0,8,15,0,,,,
0,9,35,0,,,,
0,9,42,0,,,,
0,9,38,0,,,,
0,9,10,0,,,,
0,9,15,0,,,,
0,9,7,0,,,,
0,9,14,0,,,,
0,10,34,0,,,,
0,10,45,0,,,,
0,10,7,0,,,,
0,10,9,0,,,,
0,11,21,0,,,,
0,11,12,0,,,,
0,11,44,0,,,,
0,11,22,0,,,,
0,11,25,0,,,,
0,12,20,0,,,,
0,12,8,0,,,,
0,12,39,0,,,,
0,12,2,0,,,,
0,12,11,0,,,,
0,13,6,0,,,,
0,13,21,0,,,,
0,13,0,0,,,,
0,13,25,0,,,,
0,14,18,0,,,,
0,14,35,0,,,,
0,14,15,0,,,,
0,14,0,0,,,,
0,14,9,0,,,,
0,15,38,0,,,,
0,15,8,0,,,,
0,15,19,0,,,,
0,15,2,0,,,,
0,15,14,0,,,,
0,15,9,0,,,,
0,16,24,0,,,,
0,16,28,0,,,,
0,17,29,0,,,,
0,17,44,0,,,,
0,17,5,0,,,,
0,17,41,0,,,,
0,18,20,0,,,,
0,18,8,0,,,,
0,18,14,0,,,,
0,19,27,0,,,,
0,19,15,0,,,,
0,19,3,0,,,,
0,19,32,0,,,,
0,19,43,0,,,,
0,20,18,0,,,,
0,20,21,0,,,,
0,20,12,0,,,,
0,20,0,0,,,,
0,21,20,0,,,,
0,21,13,0,,,,
0,21,11,0,,,,
0,21,23,0,,,,
0,22,33,0,,,,
0,22,26,0,,,,
0,22,11,0,,,,
0,22,23,0,,,,
0,23,6,0,,,,
0,23,21,0,,,,
0,23,22,0,,,,
0,24,16,0,,,,
0,24,3,0,,,,
0,24,32,0,,,,
0,25,26,0,,,,
0,25,13,0,,,,
0,25,40,0,,,,
0,25,2,0,,,,
0,25,11,0,,,,
0,26,6,0,,,,
0,26,22,0,,,,
0,26,36,0,,,,
0,26,25,0,,,,
0,27,8,0,,,,
0,27,39,0,,,,
0,27,30,0,,,,
0,27,19,0,,,,
0,28,51,0,,,,
0,28,16,0,,,,
0,28,47,0,,,,
0,28,32,0,,,,
0,28,31,0,,,,
0,29,39,0,,,,
0,29,30,0,,,,
0,29,49,0,,,,
0,29,17,0,,,,
0,30,29,0,,,,
0,30,27,0,,,,
0,30,3,0,,,,
0,31,1,0,,,,
0,31,46,0,,,,
0,31,51,0,,,,
0,31,47,0,,,,
0,31,28,0,,,,
0,31,7,0,,,,
0,32,38,0,,,,
0,32,24,0,,,,
0,32,47,0,,,,
0,32,19,0,,,,
0,32,28,0,,,,
0,33,44,0,,,,
0,33,22,0,,,,
0,33,5,0,,,,
0,33,36,0,,,,
0,34,42,0,,,,
0,34,10,0,,,,
0,34,7,0,,,,
0,34,50,0,,,,
0,35,42,0,,,,
0,35,48,0,,,,
0,35,14,0,,,,
0,35,9,0,,,,
0,36,33,0,,,,
0,36,4,0,,,,
0,36,26,0,,,,
0,36,40,0,,,,
0,37,46,0,,,,
0,37,47,0,,,,
0,37,45,0,,,,
0,37,7,0,,,,
0,38,47,0,,,,
0,38,15,0,,,,
0,38,32,0,,,,
0,38,45,0,,,,
0,38,7,0,,,,
0,38,9,0,,,,
0,39,29,0,,,,
0,39,12,0,,,,
0,39,27,0,,,,
0,39,44,0,,,,
0,39,43,0,,,,
0,40,44,0,,,,
0,40,43,0,,,,
0,40,36,0,,,,
0,40,41,0,,,,
0,40,25,0,,,,
0,41,4,0,,,,
0,41,40,0,,,,
0,41,49,0,,,,
0,41,17,0,,,,
0,42,1,0,,,,
0,42,35,0,,,,
0,42,48,0,,,,
0,42,34,0,,,,
0,42,7,0,,,,
0,42,9,0,,,,
0,43,39,0,,,,
0,43,40,0,,,,
0,43,49,0,,,,
0,43,19,0,,,,
0,43,2,0,,,,
0,44,33,0,,,,
0,44,39,0,,,,
0,44,40,0,,,,
0,44,17,0,,,,
0,44,11,0,,,,
0,45,38,0,,,,
0,45,10,0,,,,
0,45,37,0,,,,
0,45,7,0,,,,
0,46,37,0,,,,
0,46,7,0,,,,
0,46,50,0,,,,
0,46,31,0,,,,
0,47,38,0,,,,
0,47,37,0,,,,
0,47,32,0,,,,
0,47,28,0,,,,
0,47,7,0,,,,
0,47,31,0,,,,
0,48,1,0,,,,
0,48,35,0,,,,
0,48,42,0,,,,
0,48,51,0,,,,
0,49,29,0,,,,
0,49,3,0,,,,
0,49,43,0,,,,
0,49,41,0,,,,
0,50,1,0,,,,
0,50,46,0,,,,
0,50,34,0,,,,
0,50,7,0,,,,
0,51,1,0,,,,
0,51,48,0,,,,
0,51,28,0,,,,
0,51,31,0,,,,
1,0,14,0,,,,
1,0,55,0,,,,
1,0,32,0,,,,
1,0,52,0,,,,
1,1,26,0,,,,
1,1,71,0,,,,
1,1,64,0,,,,
1,2,25,0,,,,
1,2,32,0,,,,
1,2,24,0,,,,
1,3,60,0,,,,
1,3,23,0,,,,
1,4,20,0,,,,
1,4,21,0,,,,
1,4,46,0,,,,
1,4,59,0,,,,
1,5,53,0,,,,
1,5,68,0,,,,
1,5,56,0,,,,
1,6,32,0,,,,
1,6,24,0,,,,
1,7,20,0,,,,
1,7,21,0,,,,
1,8,30,0,,,,
1,8,17,0,,,,
1,8,28,0,,,,
1,8,34,0,,,,
1,9,16,0,,,,
1,9,20,0,,,,
1,9,45,0,,,,
1,9,54,0,,,,
1,9,46,0,,,,
1,9,64,0,,,,
1,10,50,0,,,,
1,10,53,0,,,,
1,10,67,0,,,,
1,10,56,0,,,,
1,10,12,0,,,,
1,11,18,0,,,,
1,11,36,0,,,,
1,12,10,0,,,,
1,12,26,0,,,,
1,12,71,0,,,,
1,12,49,0,,,,
1,12,32,0,,,,
1,13,66,0,,,,
1,13,18,0,,,,
1,13,17,0,,,,
1,13,54,0,,,,
1,14,55,0,,,,
1,14,58,0,,,,
1,14,25,0,,,,
1,14,36,0,,,,
1,14,0,0,,,,
1,14,52,0,,,,
1,15,47,0,,,,
1,15,39,0,,,,
1,16,59,0,,,,
1,16,9,0,,,,
1,17,22,0,,,,
1,17,35,0,,,,
1,17,8,0,,,,
1,17,41,0,,,,
1,17,13,0,,,,
1,17,19,0,,,,
1,18,11,0,,,,
1,18,43,0,,,,
1,18,55,0,,,,
1,18,58,0,,,,
1,18,51,0,,,,
1,18,13,0,,,,
1,18,19,0,,,,
1,19,57,0,,,,
1,19,18,0,,,,
1,19,55,0,,,,
1,19,17,0,,,,
1,19,31,0,,,,
1,19,28,0,,,,
1,19,49,0,,,,
1,19,32,0,,,,
